Attribute Name,Description,Valid Values / Validation Rules,Required,Conditional
HTAN_Data_File_ID,Self-identifier for this assay bundle,Must match HTAN ID regex (e.g. HTAN_[A-Za-z0-9_]+),TRUE,–
HTAN_Parent_Biospecimen_ID,HTAN ID of the biospecimen (section) analyzed to generate this data,Must match HTAN ID regex,TRUE,–
HTAN_Parent_Data_File_ID,"HTAN ID of an upstream Level-1 bundle, if available",Must match HTAN ID regex,FALSE,–
File Format,High-level package format of the bundle,"Enum: tar.gz, zip",TRUE,–
Platform,Name of the platform used to generate the data,"Enum: 10x Genomics Xenium, 10x Genomics Visium, 10x Genomics Visium HD, Nanostring CosMX,STOmics Stereo-seq, STOmics Stereo-CITE",TRUE,–
Assay Type,Broad assay class (drives downstream conditionals),"Enum: spot-based sequencing, in situ sequencing, molecular barcoding, multi-omic sequencing",TRUE,–
Bundle Contents,List of expected files or folders in this bundle,Array of strings (relative paths within the archive),TRUE,–
Has_Sequencing,If raw/aligned sequencing data is included,Boolean,FALSE,–
Sequencing_File_Type,Sequencing file type,"Enum (multiselect): FASTQ, BAM",CONDITIONAL REQ,Has_Sequencing = TRUE
Has_Images,"Whether any image files (e.g., TIFFs) are included",Boolean,TRUE,–
Image_Types,Types of images provided,"Multiselect enum: H&E, DAPI, MIF, Other",CONDITIONAL REQ,If Has_Images = TRUE
Has_Probe_Set,Whether a targeted probe/gene panel is included,Boolean,CONDITIONAL REQ,If Assay_Type = molecular barcoding
Has_Registration_Files,Whether any spatial registration transform files are included,Boolean,TRUE,–
