Attribute name,Description,Valid values or validation rules,Required,Conditional,Notes
HTAN_Data_File_ID,Self-identifier for this data file,Regex for valid HTAN IDs,TRUE,,
HTAN_Parent_Biospecimen_ID,Identifier for the direct biospecimen (ie section) that was analysed to generate this data,Regex for valid HTAN IDs,TRUE,,
HTAN_Parent_Data_File_ID,Identifier for Level 1 bundle if provided,Regex for valid HTAN IDs,FALSE,,
Platform,Name of the platform used to generate the data,"10x Genomics Xenium
10x Genomics Visium
10x Genomics Visium HD
Nanostring CosMX
STOmics Stereo-seq
STOmics Stereo-CITE
SeqFISH
DBiT-seq",TRUE,,
Spatial Assay Type,,"In situ, capture-based",,,
Assay Chemistry Version,Assay chemistry version,str,TRUE,,e.g. v1. v2
Software and Version (existing),Software/tools used for processing,,,,
Protocol link,URL,,,,
RNA_Measured,Whether RNA was measured,Boolean,TRUE,,
Protein_Measured,Whether protein was measured,Boolean,TRUE,,
Transcriptome Type,Molecular targets measured using panels,"Whole transcriptome, protein coding, targeted",TRUE,RNA Measured = TRUE,
Panel Size / Total targets,,int,TRUE,,
Panel Name,Number of genes/proteins in panel,str,CONDITIONAL REQ,Transcriptome type = targeted OR protein_measured = TRUE,
Panel_Synapse_ID,Synapse ID of the completed spatial_omics_panel template,Regex syn/d+,CONDITIONAL REQ,Transcriptome type = targeted OR protein_measured = TRUE,
Same Section Imaging ID,HTAN ID of data file that represents same section imaging,list Regex for valid HTAN IDs,FALSE,,
Same Section Imaging Modality,Was same section imaging performed,"H&E, fluoresence",FALSE,,
Same Section Imaging Channels,Antigens targeted in same section fluoresence imaging,list,CONDITIONAL REQ,If same section imaging modality = TRUE,
Region Area,Capture area in µm²,,TRUE,,
Bundle Contents,List of expected files or folders in this bundle,Array of strings (relative paths within the archive),TRUE,,
Portal Preview File,Relative path of HTML preview in bundle if present,str,FALSE,,
Has Cell Segmentation,Indicates presence of cell segmentation data,Boolean,TRUE,,
Cell Segmentation Method,Description of segmentation method,str,CONDITIONAL REQ,Has segmentation = TRUE,
Cell Segmented Object Type,Level of segmentation,"Whole cell, nucleus, cytoplasm",CONDITIONAL REQ,Has segmentation = TRUE,
Number of Segmented Cells,Total number of segmented cells,int,CONDITIONAL REQ,Has segmentation = TRUE,
Has Dimensionality Reduction,Indicates presence of dimensionally reduced data,,,,
Dimensionality Reduction Method,Method used for dimensionality reductiion,"PCA, UMAP, t-SNE, other",CONDITIONAL REQ,Has dimensionality reduction = TRUE,
Has Clustering,Indicates if clustering was performed,Boolean,TRUE,,
Clustering Method,Method used to define clusters,str,CONDITIONAL REQ,Has clustering = TRUE,
Number of Clusters,Number of clusters identified,int,CONDITIONAL REQ,Has clustering = TRUE,
Slide Serial Number,Slide serial number,,CONDITIONAL REQ,Platform = Visium or Visium HD or Xenium,
Capture Area,"Area (or Capture Area) - One of the either four or two active regions where tissue can be placed on a Visium slide. Each area is intended to contain only one tissue sample. Slide areas are named consecutively from top to bottom: A1, B1, C1, D1 for Visium slides (v1) with 6.5 mm Capture Area and A, B for CytAssist slides with 11 mm Capture Area. Both CytAssist slides with 6.5 mm Capture Area and Gateway Slides contain only two slide areas, A1 and D1.","A1,B1,C1,D1,A,B",CONDITIONAL REQ,Platform = Visium or Visium HD,
Run ID,A unique identifier for this individual run (typically associated with a single slide) of the spatial transcriptomic processing workflow.,str,FALSE,,
CytAssist Used,Whether CytAssist was used,Boolean,CONDITIONAL REQ,Platform = Visium or Visium HD,
Slide Serial Number,Slide ID from 10x slide label,,CONDITIONAL REQ,Platform = Visium or Visium HD,
Genomic Reference,Reference genome used,,CONDITIONAL REQ,Platform = Visium or Visium HD,
Sequencing Instrument,Sequencer used,,CONDITIONAL REQ,Spatial Assay type = capture based,Take minimal sequncing information from RNA seq
Sequencing Configuration,Read and index setup,,CONDITIONAL REQ,Spatial Assay type = capture based,
Sequencing Depth,,,CONDITIONAL REQ,Spatial Assay type = capture based,
QC Spatial Unit,Type of spatial unit,"8um bin, spot, 100um area, cell",TRUE,,
QC Feature Number,Features (e.g. spots or bins) under tissue,,TRUE,,
QC Mean Reads Per Feature,Mean reads per feature,,TRUE,,
QC Total Genes Detected,Total genes detected,,TRUE,,
QC Total Number of Reads,Total number of reads,,TRUE,,
