Attribute,Type,Pattern,Required,Description
CHECKSUM,string,,No,Checksum for data integrity verification
FILENAME,string,^.+[\\/]\S*$,Yes,Name of the file
FILE_FORMAT,string,,Yes,"Format of the file (e.g., fastq, bam, vcf, h5ad)"
GENOME_ANNOTATION_URL,string,,No,URL to genome annotation
GENOMIC_REFERENCE,string,,Yes,Genomic reference used for alignment
GENOMIC_REFERENCE_URL,string,,No,URL to genomic reference
GERMLINE_VARIANTS_WORKFLOW_TYPE,string,,No,Type of germline variants workflow
GERMLINE_VARIANTS_WORKFLOW_URL,string,,No,URL to the germline variants workflow
HTAN_DATA_FILE_ID,string,"^(?=.{1,50}$)(HTA2[0-2][0-9])_(0000|EXT[0-9]{1,18}|[0-9]{1,21})_(D[0-9]{1,20})$",Yes,HTAN Data File ID (Primary Key)
HTAN_PARENT_ID,string,"^(?=.{1,50}$)(HTA2[0-2][0-9])_(0000|EXT[0-9]{1,18}|[0-9]{1,21})_([BD][0-9]{1,20})$",Yes,"HTAN Parent ID - Foreign Key to parent entity (B for Biospecimen, D for data file). Must have B or D suffix. Supports HTA200-229 for phase 2."
LIBRARY_LAYOUT,LibraryLayoutEnum,,Yes,Library layout (paired-end or single-end)
LIBRARY_PREPARATION_DAYS_FROM_INDEX,integer,,No,Days from index for library preparation
MSI_SCORE,float,,No,MSI score
MSI_STATUS,MSIStatusEnum,,No,MSI status
MSI_WORKFLOW_LINK,string,,No,Link to MSI workflow
PROTOCOL_LINK,string,,No,Link to sequencing protocol
SEQUENCING_BATCH_ID,string,,No,Sequencing batch identifier
SEQUENCING_PLATFORM,SequencingPlatformEnum,,Yes,Sequencing platform used
SOMATIC_VARIANTS_SAMPLE_TYPE,SomaticVariantsSampleTypeEnum,,No,Type of sample for somatic variants
SOMATIC_VARIANTS_WORKFLOW_TYPE,string,,No,Type of somatic variants workflow
SOMATIC_VARIANTS_WORKFLOW_URL,string,,No,URL to the somatic variants workflow
STRUCTURAL_VARIANT_WORKFLOW_TYPE,string,,No,Type of structural variant workflow
STRUCTURAL_VARIANT_WORKFLOW_URL,string,,No,URL to the structural variant workflow
TECHNICAL_REPLICATE_GROUP,string,,No,Technical replicate group identifier
WORKFLOW_LINK,string,,No,Link to workflow or command. DockStore.org recommended
WORKFLOW_VERSION,string,,Yes,Major version of the workflow
